#FEDEM	R7.2.1  6 jan 2017 11:53:51
#PARENT	D:\Src\ftKernel.git\solverTests\CamJoint\PearCamWithFriction.fmm
#FILE 	D:\Src\ftKernel.git\solverTests\CamJoint\SystemEnergy_R253.asc
#USER 	kmo
#DATE 	Wed Sep 19 08:52:44 2018
#
#DESCRIPTION	Checksum_ref	Friction_loss_ref	Input_ref	Loss_ref	Strain_ref
1.40000000e-01	1.14913737e-08	2.35445582e-12	1.00860504e-05	2.36021584e-09	9.71552454e-09
1.41000000e-01	1.17677128e-08	2.41032298e-12	1.02301272e-05	2.37925370e-09	9.97336016e-09
1.42000000e-01	1.20500708e-08	2.46691973e-12	1.03752259e-05	2.39857325e-09	1.02369354e-08
1.43000000e-01	1.23385331e-08	2.52459992e-12	1.05213463e-05	2.41817692e-09	1.05063350e-08
1.44000000e-01	1.26331897e-08	2.58372483e-12	1.06684886e-05	2.43806711e-09	1.07816440e-08
1.45000000e-01	1.29341275e-08	2.64397327e-12	1.08166528e-05	2.45824558e-09	1.10629483e-08
1.46000000e-01	1.32414347e-08	2.70499848e-12	1.09658387e-05	2.47871404e-09	1.13503344e-08
1.47000000e-01	1.35551993e-08	2.76718353e-12	1.11160465e-05	2.49947495e-09	1.16438894e-08
1.48000000e-01	1.38755135e-08	2.83091927e-12	1.12672761e-05	2.52053075e-09	1.19437008e-08
1.49000000e-01	1.42024671e-08	2.89585734e-12	1.14195275e-05	2.54188317e-09	1.22498572e-08
1.50000000e-01	1.45361501e-08	2.96201815e-12	1.15728007e-05	2.56353429e-09	1.25624473e-08
1.51000000e-01	1.48766551e-08	3.02942244e-12	1.17270957e-05	2.58548618e-09	1.28815608e-08
1.52000000e-01	1.52240743e-08	3.09767957e-12	1.18824126e-05	2.60774053e-09	1.32072878e-08
1.53000000e-01	1.55784983e-08	3.16721982e-12	1.20387513e-05	2.63029983e-09	1.35397191e-08
1.54000000e-01	1.59400248e-08	3.23805410e-12	1.21961118e-05	2.65316615e-09	1.38789461e-08
1.55000000e-01	1.63087440e-08	3.31021501e-12	1.23544941e-05	2.67634160e-09	1.42250608e-08
1.56000000e-01	1.66847539e-08	3.38371375e-12	1.25138983e-05	2.69982824e-09	1.45781559e-08
1.57000000e-01	1.70681471e-08	3.45858390e-12	1.26743243e-05	2.72362817e-09	1.49383247e-08
1.58000000e-01	1.74590217e-08	3.53529853e-12	1.28357721e-05	2.74774394e-09	1.53056610e-08
1.59000000e-01	1.78574745e-08	3.61343356e-12	1.29982417e-05	2.77217718e-09	1.56802594e-08
1.60000000e-01	1.82636009e-08	3.69301255e-12	1.31617331e-05	2.79692998e-09	1.60622150e-08
1.61000000e-01	1.86775001e-08	3.77405938e-12	1.33262464e-05	2.82200442e-09	1.64516234e-08
1.62000000e-01	1.90992707e-08	3.85610090e-12	1.34917815e-05	2.84740210e-09	1.68485811e-08
1.63000000e-01	1.95290083e-08	3.93965595e-12	1.36583384e-05	2.87312560e-09	1.72531851e-08
1.64000000e-01	1.99668186e-08	4.02473689e-12	1.38259171e-05	2.89917700e-09	1.76655330e-08
1.65000000e-01	2.04127964e-08	4.11138143e-12	1.39945177e-05	2.92555839e-09	1.80857229e-08
1.66000000e-01	2.08670464e-08	4.20013751e-12	1.41641401e-05	2.95227240e-09	1.85138538e-08
1.67000000e-01	2.13296708e-08	4.28996677e-12	1.43347842e-05	2.97932004e-09	1.89500251e-08
1.68000000e-01	2.18007656e-08	4.38143734e-12	1.45064503e-05	3.00670395e-09	1.93943368e-08
1.69000000e-01	2.22804410e-08	4.47512749e-12	1.46791381e-05	3.03442678e-09	1.98468897e-08
1.70000000e-01	2.27687978e-08	4.57051589e-12	1.48528478e-05	3.06249005e-09	2.03077850e-08
1.71000000e-01	2.32659383e-08	4.66762992e-12	1.50275792e-05	3.09089587e-09	2.07771248e-08
1.72000000e-01	2.37719703e-08	4.76590106e-12	1.52033325e-05	3.11964573e-09	2.12550115e-08
1.73000000e-01	2.42869935e-08	4.86595022e-12	1.53801077e-05	3.14874232e-09	2.17415484e-08
1.74000000e-01	2.48111202e-08	4.96840911e-12	1.55579046e-05	3.17818833e-09	2.22368392e-08
1.75000000e-01	2.53444560e-08	5.07207814e-12	1.57367234e-05	3.20798462e-09	2.27409883e-08
1.76000000e-01	2.58871015e-08	5.17761171e-12	1.59165640e-05	3.23813392e-09	2.32541009e-08
1.77000000e-01	2.64391730e-08	5.28567536e-12	1.60974264e-05	3.26863895e-09	2.37762825e-08
1.78000000e-01	2.70007767e-08	5.39500433e-12	1.62793106e-05	3.29950052e-09	2.43076393e-08
1.79000000e-01	2.75720147e-08	5.50628781e-12	1.64622166e-05	3.33072136e-09	2.48482784e-08
1.80000000e-01	2.81530074e-08	5.61954080e-12	1.66461445e-05	3.36230358e-09	2.53983072e-08
1.81000000e-01	2.87438560e-08	5.73481028e-12	1.68310942e-05	3.39424928e-09	2.59578338e-08
1.82000000e-01	2.93446766e-08	5.85282132e-12	1.70170657e-05	3.42656124e-09	2.65269670e-08
1.83000000e-01	2.99555813e-08	5.97291637e-12	1.72040591e-05	3.45924087e-09	2.71058161e-08
1.84000000e-01	3.05766781e-08	6.09512789e-12	1.73920742e-05	3.49229027e-09	2.76944912e-08
1.85000000e-01	3.12080828e-08	6.21948876e-12	1.75811112e-05	3.52571153e-09	2.82931029e-08
1.86000000e-01	3.18499077e-08	6.34603229e-12	1.77711700e-05	3.55950676e-09	2.89017623e-08
1.87000000e-01	3.25022665e-08	6.47479218e-12	1.79622506e-05	3.59367805e-09	2.95205812e-08
1.88000000e-01	3.31652756e-08	6.60501718e-12	1.81543531e-05	3.62822671e-09	3.01496723e-08
1.89000000e-01	3.38390438e-08	6.73752308e-12	1.83474773e-05	3.66315563e-09	3.07891485e-08
1.90000000e-01	3.45236968e-08	6.87232669e-12	1.85416234e-05	3.69846688e-09	3.14391236e-08
1.91000000e-01	3.52193419e-08	7.00948158e-12	1.87367913e-05	3.73416258e-09	3.20997118e-08
1.92000000e-01	3.59261025e-08	7.14984420e-12	1.89329811e-05	3.77024565e-09	3.27710281e-08
1.93000000e-01	3.66440963e-08	7.29263465e-12	1.91301926e-05	3.80671739e-09	3.34531882e-08
1.94000000e-01	3.73734387e-08	7.43702253e-12	1.93284260e-05	3.84357900e-09	3.41463080e-08
1.95000000e-01	3.81142450e-08	7.58390784e-12	1.95276812e-05	3.88083348e-09	3.48505045e-08
1.96000000e-01	3.88666448e-08	7.73330854e-12	1.97279582e-05	3.91848289e-09	3.55658951e-08
1.97000000e-01	3.96307475e-08	7.88528246e-12	1.99292570e-05	3.95652936e-09	3.62925978e-08
1.98000000e-01	4.04066816e-08	8.04077327e-12	2.01315777e-05	3.99497590e-09	3.70307313e-08
1.99000000e-01	4.11945684e-08	8.19891966e-12	2.03349202e-05	4.03382371e-09	3.77804148e-08
2.00000000e-01	4.19945248e-08	8.35976124e-12	2.05392845e-05	4.07307489e-09	3.85417682e-08
2.01000000e-01	4.28066774e-08	8.52333809e-12	2.07446706e-05	4.11273154e-09	3.93149120e-08
2.02000000e-01	4.36311499e-08	8.68870441e-12	2.09510786e-05	4.15279479e-09	4.00999674e-08
2.03000000e-01	4.44680576e-08	8.85688269e-12	2.11585083e-05	4.19326772e-09	4.08970562e-08
2.04000000e-01	4.53175389e-08	9.02789258e-12	2.13669599e-05	4.23415242e-09	4.17063006e-08
2.05000000e-01	4.61797061e-08	9.20179789e-12	2.15764333e-05	4.27545101e-09	4.25278237e-08
2.06000000e-01	4.70546955e-08	9.37861870e-12	2.17869286e-05	4.31716557e-09	4.33617491e-08
2.07000000e-01	4.79426245e-08	9.55842042e-12	2.19984456e-05	4.35929824e-09	4.42082010e-08
2.08000000e-01	4.88436286e-08	9.74122356e-12	2.22109845e-05	4.40185110e-09	4.50673042e-08
2.09000000e-01	4.97578267e-08	9.92709512e-12	2.24245452e-05	4.44482629e-09	4.59391843e-08
2.10000000e-01	5.06838968e-08	1.01171738e-11	2.26391292e-05	4.48822700e-09	4.68239673e-08
2.11000000e-01	5.16234206e-08	1.03092808e-11	2.28547350e-05	4.53205311e-09	4.77217799e-08
2.12000000e-01	5.25765115e-08	1.05045913e-11	2.30713626e-05	4.57630788e-09	4.86327495e-08
2.13000000e-01	5.35418399e-08	1.07042974e-11	2.32890135e-05	4.62099456e-09	4.95570040e-08
2.14000000e-01	5.45210040e-08	1.09061170e-11	2.35076863e-05	4.66611292e-09	5.04946719e-08
2.15000000e-01	5.55141196e-08	1.11112801e-11	2.37273809e-05	4.71166627e-09	5.14458825e-08
2.16000000e-01	5.65213387e-08	1.13210339e-11	2.39480974e-05	4.75765790e-09	5.24107655e-08
2.17000000e-01	5.75427891e-08	1.15329894e-11	2.41698356e-05	4.80408751e-09	5.33894513e-08
2.18000000e-01	5.85785882e-08	1.17484331e-11	2.43925958e-05	4.85095843e-09	5.43820711e-08
2.19000000e-01	5.96288909e-08	1.19686695e-11	2.46163777e-05	4.89827404e-09	5.53887564e-08
2.20000000e-01	6.06938238e-08	1.21924993e-11	2.48411815e-05	4.94603520e-09	5.64096395e-08
2.21000000e-01	6.17735201e-08	1.24186530e-11	2.50670071e-05	4.99424270e-09	5.74448533e-08
2.22000000e-01	6.28681093e-08	1.26484959e-11	2.52938546e-05	5.04289999e-09	5.84945314e-08
2.23000000e-01	6.39777407e-08	1.28834116e-11	2.55217239e-05	5.09201049e-09	5.95588078e-08
2.24000000e-01	6.51025471e-08	1.31221263e-11	2.57506150e-05	5.14157502e-09	6.06378174e-08
2.25000000e-01	6.62426608e-08	1.33646930e-11	2.59805280e-05	5.19159566e-09	6.17316955e-08
2.26000000e-01	6.73982255e-08	1.36111651e-11	2.62114628e-05	5.24207456e-09	6.28405781e-08
2.27000000e-01	6.85693771e-08	1.38615966e-11	2.64434194e-05	5.29301383e-09	6.39646018e-08
2.28000000e-01	6.97562553e-08	1.41160421e-11	2.66763979e-05	5.34441557e-09	6.51039038e-08
2.29000000e-01	7.09590044e-08	1.43730728e-11	2.69103982e-05	5.39628045e-09	6.62586221e-08
2.30000000e-01	7.21777494e-08	1.46342220e-11	2.71454203e-05	5.44861204e-09	6.74288951e-08
2.31000000e-01	7.34126548e-08	1.48995159e-11	2.73814643e-05	5.50141243e-09	6.86148617e-08
2.32000000e-01	7.46638415e-08	1.51690415e-11	2.76185301e-05	5.55468377e-09	6.98166617e-08
2.33000000e-01	7.59314692e-08	1.54428256e-11	2.78566178e-05	5.60842818e-09	7.10344356e-08
2.34000000e-01	7.72156660e-08	1.57209574e-11	2.80957272e-05	5.66264777e-09	7.22683242e-08
2.35000000e-01	7.85165864e-08	1.60050811e-11	2.83358586e-05	5.71734629e-09	7.35184691e-08
2.36000000e-01	7.98343762e-08	1.62936777e-11	2.85770117e-05	5.77252426e-09	7.47850126e-08
2.37000000e-01	8.11691705e-08	1.65868074e-11	2.88191867e-05	5.82818382e-09	7.60680974e-08
2.38000000e-01	8.25211220e-08	1.68845312e-11	2.90623835e-05	5.88432708e-09	7.73678669e-08
2.39000000e-01	8.38903784e-08	1.71851998e-11	2.93066022e-05	5.94095446e-09	7.86844650e-08
